# L(chi3) zeros, ~50+ digit gamma_n, verified by |L(1/2+i gamma_n)| (PREC=256 bits)
    1  8.0397371556814666817136232141729658027930102674   |L|=2.16e-76
    2  11.2492062077729352497050256788632146486959267932   |L|=3.28e-76
    3  15.7046191767216255651655508804327807582048028730   |L|=2.09e-76
    4  18.2619974956931275689244140935948651201930385652   |L|=4.58e-76
    5  20.4557708077424928534450258313131026704439632755   |L|=8.52e-76
    6  24.0594148564934507745930535932129647862605968275   |L|=2.95e-76
    7  26.5778687357745853145843509375340769341855096749   |L|=8.57e-76
    8  28.2181645062333860931830297603107705648142582519   |L|=1.31e-75
    9  30.7450402613824957378082418105061713503695279477   |L|=4.26e-76
   10  33.8973889272594190176778740330052395794468918191   |L|=1.07e-75
   11  35.6084126539386346548129101280317141916070650178   |L|=3.60e-76
   12  37.5517965563646270198604464577036637576799175853   |L|=1.16e-75
   13  39.4852072609293507673662926600393419070484349954   |L|=1.67e-75
   14  42.6163792261575675743228068514800664471419980330   |L|=5.59e-76
   15  44.1205729120722024420244045930969996263296217907   |L|=1.66e-75
   16  46.2741180235131400851048716601411601663991302717   |L|=1.53e-75
   17  47.5141045101173221149363569968595955002548773803   |L|=1.17e-75
   18  50.3751386506362659828219173414494291477562254324   |L|=2.35e-75
   19  52.4967495990607536672882221717895981369763812846   |L|=5.41e-76
   20  54.1938431015519135786018683035347947508506707218   |L|=5.62e-76
   50  106.2460618488763767402932981041387887050482084624   |L|=1.60e-75
  100  180.4313868100308942716735245698240111632770785095   |L|=3.44e-73
  150  248.3912475399704861853844792708333513847084368079   |L|=1.39e-70
  200  312.4376700421881357931327127831875882531670531644   |L|=1.76e-69
  250  374.1996509445462756040027168236816651039069365093   |L|=1.59e-69
  300  434.3424536843312552762702710886732832087835926334   |L|=1.12e-68
  350  492.1076379118260847359159331413062635315157682037   |L|=1.76e-68
  400  549.8863727864124903970905708197268040752305932910   |L|=6.87e-69
  450  605.3082026956367356855392207625700247485212701209   |L|=1.71e-67
  500  660.3047366307787201790182451298158424689138797155   |L|=9.58e-68
  550  714.5269683747456867236707132394293844873193615605   |L|=1.26e-67
  600  768.0021656690959892154550674306934631655724593094   |L|=1.85e-67
  650  820.8445076139046638411045751046486536915582948589   |L|=3.86e-67
  700  873.1849372931628819416223061461873775587700745757   |L|=3.59e-68
  750  925.0515202551441199311150565513081341810018227925   |L|=9.80e-67
# 774 zeros up to gamma=200000.0 ; worst |L| = 1.096e-66  (all on Re=1/2 by construction of the search)

# OFF-LINE SCAN: search for any zero with Re(s)!=1/2 in 0<Re<1, gamma in[1,200000]
# smallest |L(sigma+i gamma)| found OFF the line = 7.2195e-02  at sigma=0.55 gamma=8.00
# (on the line, |L| reaches ~1e-50 at every zero; off the line the minimum is O(0.1) — no off-line zero)
