# u |D(u)|
2.000000000000000111e-01 3.755107525628296680e-04
2.002375148446778053e-01 4.209192686384611529e-04
2.004750296893555994e-01 4.332378009236455469e-04
2.007125445340333936e-01 4.070101607341239489e-04
2.009500593787111877e-01 3.540390492085340604e-04
2.011875742233889819e-01 3.047013626356132650e-04
2.014250890680667760e-01 2.983780455916896796e-04
2.016626039127445702e-01 3.406204791301926352e-04
2.019001187574223366e-01 3.948492926166741776e-04
2.021376336021001308e-01 4.271768841452515094e-04
2.023751484467779249e-01 4.222949705939110484e-04
2.026126632914557191e-01 3.822482321082127125e-04
2.028501781361335132e-01 3.266578543614767475e-04
2.030876929808113074e-01 2.925004705636291948e-04
2.033252078254891015e-01 3.100250012066690561e-04
2.035627226701668957e-01 3.621475642080291472e-04
2.038002375148446899e-01 4.093397241957058910e-04
2.040377523595224840e-01 4.259859307007164003e-04
2.042752672042002782e-01 4.046498158864772292e-04
2.045127820488780723e-01 3.547867580344280891e-04
2.047502968935558665e-01 3.039401609082877727e-04
2.049878117382336606e-01 2.912218957544157735e-04
2.052253265829114548e-01 3.282595154632533688e-04
2.054628414275892490e-01 3.820248505930876775e-04
2.057003562722670154e-01 4.174641486295219248e-04
2.059378711169448095e-01 4.173603622690167888e-04
2.061753859616226037e-01 3.816912498203275939e-04
2.064129008063003978e-01 3.274888098925183579e-04
2.066504156509781920e-01 2.893366673704133359e-04
2.068879304956559861e-01 3.001952783307814993e-04
2.071254453403337803e-01 3.492092846543932202e-04
2.073629601850115745e-01 3.977342579241796377e-04
2.076004750296893686e-01 4.184220877418382088e-04
2.078379898743671628e-01 4.019090149934362245e-04
2.080755047190449569e-01 3.554192106338825621e-04
2.083130195637227511e-01 3.037434925398942143e-04
2.085505344084005452e-01 2.851164466925264185e-04
2.087880492530783394e-01 3.166115076548923070e-04
2.090255640977561336e-01 3.694002260882618617e-04
2.092630789424339000e-01 4.075739990598386511e-04
2.095005937871116941e-01 4.120524566330199616e-04
2.097381086317894883e-01 3.808226319065924890e-04
2.099756234764672824e-01 3.284602553020368179e-04
2.102131383211450766e-01 2.870357128369575850e-04
2.104506531658228707e-01 2.913237497566682245e-04
2.106881680105006649e-01 3.367368467500580598e-04
2.109256828551784591e-01 3.861368372707335702e-04
2.111631976998562532e-01 4.105680859500628120e-04
2.114007125445340474e-01 3.987852940713574592e-04
2.116382273892118415e-01 3.558851519010365204e-04
2.118757422338896357e-01 3.040063254957869020e-04
2.121132570785674298e-01 2.800222945700306366e-04
2.123507719232452240e-01 3.057126315997236153e-04
2.125882867679230182e-01 3.570140814173241163e-04
2.128258016126007846e-01 3.975356818859374390e-04
2.130633164572785787e-01 4.063843022918904439e-04
2.133008313019563729e-01 3.796221001228475452e-04
2.135383461466341670e-01 3.294933375837869722e-04
2.137758609913119612e-01 2.855043194566858861e-04
2.140133758359897553e-01 2.834178168234433568e-04
2.142508906806675495e-01 3.247714007411299617e-04
2.144884055253453436e-01 3.745823054404443528e-04
2.147259203700231378e-01 4.024471135471265667e-04
2.149634352147009320e-01 3.952797360300561386e-04
2.152009500593787261e-01 3.561413302808153695e-04
2.154384649040565203e-01 3.046293383999166497e-04
2.156759797487343144e-01 2.758886541061651319e-04
2.159134945934121086e-01 2.955960810192014595e-04
2.161510094380899027e-01 3.449058953288402065e-04
2.163885242827676691e-01 3.873794042350918844e-04
2.166260391274454633e-01 4.003710096440921714e-04
2.168635539721232575e-01 3.780746140405476827e-04
2.171010688168010516e-01 3.305183121342519532e-04
2.173385836614788458e-01 2.846463019962483737e-04
2.175760985061566399e-01 2.764755484385205482e-04
2.178136133508344341e-01 3.133539268518218475e-04
2.180511281955122282e-01 3.631063871190910448e-04
2.182886430401900224e-01 3.940836202366979806e-04
2.185261578848678166e-01 3.913965531125487276e-04
2.187636727295456107e-01 3.561517152623280705e-04
2.190011875742234049e-01 3.055200303086473990e-04
2.192387024189011990e-01 2.726543094656167020e-04
2.194762172635789932e-01 2.862909234839160449e-04
2.197137321082567873e-01 3.331158828469430507e-04
2.199512469529345537e-01 3.771363096947593957e-04
2.201887617976123757e-01 3.940295336952351454e-04
2.204262766422901421e-01 3.761697652725209538e-04
2.206637914869679362e-01 3.314740912131855554e-04
2.209013063316457304e-01 2.843649349322740182e-04
2.211388211763235245e-01 2.704846931518318652e-04
2.213763360210013187e-01 3.025247215504854093e-04
2.216138508656791128e-01 3.517456915842717170e-04
2.218513657103569070e-01 3.855032279159434274e-04
2.220888805550347012e-01 3.871427287057903582e-04
2.223263953997124953e-01 3.558867598348945758e-04
2.225639102443902895e-01 3.065934090699336582e-04
2.228014250890680836e-01 2.702491002918310133e-04
2.230389399337458778e-01 2.778208457649778210e-04
2.232764547784236719e-01 3.216848640941503772e-04
2.235139696231014383e-01 3.668384657784900236e-04
2.237514844677792603e-01 3.873784923887244286e-04
2.239889993124570267e-01 3.739012457126805050e-04
2.242265141571348208e-01 3.323076853637332156e-04
2.244640290018126150e-01 2.845650671753954244e-04
2.247015438464904091e-01 2.654220828808519965e-04
2.249390586911682033e-01 2.923227406623993838e-04
2.251765735358459974e-01 3.405377070436374195e-04
2.254140883805237916e-01 3.767326618565858243e-04
2.256516032252015858e-01 3.825277107958075396e-04
2.258891180698793799e-01 3.553227192005703927e-04
2.261266329145571741e-01 3.077723191290775953e-04
2.263641477592349682e-01 2.685958151058398654e-04
2.266016626039127624e-01 2.702028519650512815e-04
2.268391774485905565e-01 3.106540655575591617e-04
2.270766922932683229e-01 3.565188601808927187e-04
2.273142071379461449e-01 3.804380156922436526e-04
2.275517219826239113e-01 3.712663829828131935e-04
2.277892368273017054e-01 3.329735895281604177e-04
2.280267516719794996e-01 2.851548933472784503e-04
2.282642665166572937e-01 2.612535262824418076e-04
2.285017813613350879e-01 2.827847894240410648e-04
2.287392962060128820e-01 3.295207785067758932e-04
2.289768110506906762e-01 3.677996997242571941e-04
2.292143258953684704e-01 3.775631503586110091e-04
2.294518407400462645e-01 3.544410308922583594e-04
2.296893555847240587e-01 3.089874804920561785e-04
2.299268704294018528e-01 2.676123249412932993e-04
2.301643852740796470e-01 2.634460037730506363e-04
2.304019001187574411e-01 3.000648354469100630e-04
2.306394149634352075e-01 3.462114025364100979e-04
2.308769298081130295e-01 3.732296215118665900e-04
2.311144446527907959e-01 3.682657361831379950e-04
2.313519594974685900e-01 3.334331524443583561e-04
2.315894743421463842e-01 2.860473344329846632e-04
2.318269891868241783e-01 2.579342428582919356e-04
2.320645040315019725e-01 2.739445612779784454e-04
2.323020188761797666e-01 3.187340596187017276e-04
2.325395337208575608e-01 3.587331359725636892e-04
2.327770485655353550e-01 3.722626788113095114e-04
2.330145634102131491e-01 3.532277571579390055e-04
2.332520782548909433e-01 3.101773104704914062e-04
2.334895930995687374e-01 2.672137789943970147e-04
2.337271079442465316e-01 2.575503124793359169e-04
2.339646227889243257e-01 2.899582538514115619e-04
2.342021376336020921e-01 3.359509277423308282e-04
2.344396524782799140e-01 3.657761150994694546e-04
2.346771673229576805e-01 3.649027452800305714e-04
2.349146821676355024e-01 3.336539565080620445e-04
2.351521970123132688e-01 2.871610263906297774e-04
2.353897118569910629e-01 2.554098286873926395e-04
2.356272267016688571e-01 2.658315441704584329e-04
2.358647415463466512e-01 3.082174267313900315e-04
2.361022563910244454e-01 3.495627593005299879e-04
2.363397712357022395e-01 3.666417195620270573e-04
2.365772860803800337e-01 3.516730877927467516e-04
2.368148009250578279e-01 3.112875931370185484e-04
