# s  P_data  P_GUE  P_Poisson
2.500000000000000139e-02 0.000000000000000000e+00 2.024811737578824898e-03 9.753099120283326151e-01
7.500000000000001110e-02 2.235261246158144754e-02 1.810766097032322219e-02 9.277434863285528577e-01
1.250000000000000000e-01 2.235261246158144061e-02 4.966269058995260999e-02 8.824969025845954551e-01
1.750000000000000167e-01 3.911707180776754361e-02 9.549747801406575920e-02 8.394570207692073627e-01
2.250000000000000056e-01 7.264599050013971493e-02 1.538939770459947787e-01 7.985162187593770611e-01
2.750000000000000222e-01 1.117630623079071406e-01 2.226885830466927285e-01 7.595721232249684762e-01
3.250000000000000666e-01 1.732327465772562358e-01 2.993715038294819109e-01 7.225273536420721010e-01
3.750000000000000000e-01 2.570550433081866815e-01 3.811997794000742679e-01 6.872892787909722356e-01
4.250000000000000444e-01 4.023470243084661391e-01 4.653176530487589946e-01 6.537697851298472917e-01
4.749999999999999778e-01 3.744062587314893054e-01 5.488777767795458562e-01 6.218850564650201251e-01
5.250000000000000222e-01 4.973456272701867742e-01 6.291569368866088974e-01 5.915553643668151063e-01
5.750000000000000666e-01 7.655769768091639227e-01 7.036605800151782830e-01 5.627048688069556936e-01
6.250000000000000000e-01 7.767532830399562771e-01 7.702113474776312030e-01 5.352614285189902787e-01
6.750000000000000444e-01 7.488125174629778336e-01 8.270180050364500657e-01 5.091564206075491761e-01
7.250000000000000888e-01 9.388097233864221014e-01 8.727224914770929098e-01 4.843245689553624111e-01
7.750000000000000222e-01 9.220452640402339028e-01 9.064242007998433159e-01 4.607037809989658061e-01
8.250000000000000666e-01 9.611623358480013701e-01 9.276819610429054563e-01 4.382349924649491801e-01
8.750000000000000000e-01 1.234981838502376528e+00 9.364953891648535311e-01 4.168620196785083887e-01
9.250000000000000444e-01 1.061749091925117794e+00 9.332683141703012053e-01 3.965314190749928414e-01
9.750000000000000888e-01 1.022632020117352658e+00 9.187577187943943846e-01 3.771923535631568902e-01
1.024999999999999911e+00 1.084101704386699172e+00 8.940121257644362274e-01 3.587964654059516145e-01
1.075000000000000178e+00 1.100866163732885372e+00 8.603035433510951568e-01 3.412977553009935994e-01
1.125000000000000000e+00 8.438111204246988573e-01 8.190570033495229163e-01 3.246524673583497389e-01
1.175000000000000266e+00 8.829281922324664356e-01 7.717814073472412106e-01 3.088189796880197457e-01
1.225000000000000089e+00 8.102822017323303427e-01 7.200048918752786076e-01 2.937577003235327666e-01
1.274999999999999911e+00 8.717518860016756355e-01 6.652172854964519821e-01 2.794309682214073387e-01
1.325000000000000178e+00 6.817546800782334770e-01 6.088215194429303923e-01 2.658029590889265381e-01
1.375000000000000000e+00 5.979323833473032535e-01 5.520951242968052952e-01 2.528395958047464642e-01
1.425000000000000266e+00 4.470522492316285623e-01 4.961622484257364185e-01 2.405084632083420715e-01
1.475000000000000089e+00 4.079351774238628714e-01 4.419760102499766807e-01 2.287787270452224242e-01
1.524999999999999911e+00 3.408773400391167385e-01 3.903104757108266654e-01 2.176210568652328925e-01
1.575000000000000178e+00 3.017602682313492712e-01 3.417611526380617271e-01 2.070075526811525901e-01
1.625000000000000000e+00 2.347024308466049702e-01 2.967526218988458253e-01 1.969116752041940588e-01
1.675000000000000266e+00 2.682313495389771485e-01 2.555517780528712701e-01 1.873081794819569657e-01
1.725000000000000089e+00 1.564682872310707018e-01 2.182851183831147901e-01 1.781730517728984109e-01
1.774999999999999911e+00 1.732327465772560693e-01 1.849585813294264691e-01 1.694834494994701124e-01
1.825000000000000178e+00 6.146968426934892177e-02 1.554785726199863494e-01 1.612176441297767382e-01
1.875000000000000000e+00 1.173512154233024851e-01 1.296730074591863346e-01 1.533549668449284697e-01
1.925000000000000266e+00 4.470522492316285346e-02 1.073114181823053709e-01 1.458757568562273343e-01
1.975000000000000089e+00 7.823414361553535090e-02 8.812340904740066649e-02 1.387613122429552370e-01
2.025000000000000355e+00 3.352891869237199091e-02 7.181496661943731485e-02 1.319938431878301677e-01
2.075000000000000178e+00 2.794076557697691005e-02 5.808234253743756875e-02 1.255564274931972035e-01
2.125000000000000000e+00 1.676445934618614464e-02 4.662340627643467295e-02 1.194329682667196191e-01
2.174999999999999822e+00 5.588153115395332396e-03 3.714651351306394456e-02 1.136081536707637674e-01
2.225000000000000089e+00 0.000000000000000000e+00 2.937704891015860409e-02 1.080674186348292570e-01
2.275000000000000355e+00 5.588153115395332396e-03 2.306188134216496932e-02 1.027969084352863549e-01
2.325000000000000178e+00 0.000000000000000000e+00 1.797201766549217164e-02 9.778344405135004636e-02
2.375000000000000000e+00 0.000000000000000000e+00 1.390376237587788097e-02 9.301448921066349240e-02
2.425000000000000266e+00 0.000000000000000000e+00 1.067868993882148225e-02 8.847811904208727207e-02
2.475000000000000089e+00 0.000000000000000000e+00 8.142719506338619989e-03 8.416299025731036054e-02
2.525000000000000355e+00 0.000000000000000000e+00 6.164553217181490373e-03 8.005831278672051465e-02
2.575000000000000178e+00 0.000000000000000000e+00 4.633703878301168207e-03 7.615382279861032666e-02
2.625000000000000000e+00 0.000000000000000000e+00 3.458299396116970136e-03 7.243975703425145629e-02
2.675000000000000266e+00 0.000000000000000000e+00 2.562812923465999232e-03 6.890682839466255594e-02
2.725000000000000089e+00 0.000000000000000000e+00 1.885831564577114799e-03 6.554620271802433229e-02
2.775000000000000355e+00 0.000000000000000000e+00 1.377944140749577879e-03 6.234947668967340262e-02
2.825000000000000178e+00 0.000000000000000000e+00 9.998008174172971687e-04 5.930865682943872036e-02
