# nontrivial zeros of L(s,chi4)=Dirichlet beta on sigma=1/2
# index  gamma
1  6.020948904697596654902512
2  10.24377030416655455213776
3  12.98809801231242250745311
4  16.34260710458722219497686
5  18.291993196123534838526
6  21.45061134398346049720095
7  23.27837652045953153181956
8  25.72875642508872756726509
9  28.35963434302532778565161
10  29.65638401459315272180991
11  32.59218652711715513081519
12  34.1999575092131469130448
13  36.14288045830313783056581
14  38.5119231417186912937765
15  40.32267406669054418034439
16  41.80708462000456233715752
17  44.61789105866230339348205
18  45.5995843967915667459377
19  47.74156228093914125078135
20  49.72312932378258606656957
21  51.68609345287052843953381
22  52.76882076780472926503508
23  55.26754358469922484671826
24  56.93437405520229688680171
25  58.11670711067391797726237
