# tau K_raw K_smooth K_GUE
0.000000000000000000e+00 3.580000000000000000e+03 8.742980340765954850e+01 0.000000000000000000e+00
2.001334222815210305e-03 1.730343491735659045e+00 8.743019408543911197e+01 2.001334222815210305e-03
4.002668445630420610e-03 1.306704302359367631e+00 8.743050070702314258e+01 4.002668445630420610e-03
6.004002668445630915e-03 7.850046200125568863e-01 8.743062250333063901e+01 6.004002668445630915e-03
8.005336891260841220e-03 3.402668558067420967e-01 8.743062779299027909e+01 8.005336891260841220e-03
1.000667111407605239e-02 7.806525018846785513e-02 8.743066811824938611e+01 1.000667111407605239e-02
1.200800533689126183e-02 2.472245545049675400e-04 8.743083063759297602e+01 1.200800533689126183e-02
1.400933955970647127e-02 3.104823165228198442e-02 8.743106947893595304e+01 1.400933955970647127e-02
1.601067378252168244e-02 7.828201133795359423e-02 8.743126657179809058e+01 1.601067378252168244e-02
1.801200800533689361e-02 8.713811834641041476e-02 8.743134986795398333e+01 1.801200800533689361e-02
2.001334222815210478e-02 5.657942171455344199e-02 8.743135464271313140e+01 2.001334222815210478e-02
2.201467645096731249e-02 1.801770549250774830e-02 8.743137909651206030e+01 2.201467645096731249e-02
2.401601067378252366e-02 2.415772380410804532e-04 8.743148706311515639e+01 2.401601067378252366e-02
2.601734489659773483e-02 7.871543374758481135e-03 8.743165285391521024e+01 2.601734489659773483e-02
2.801867911941294254e-02 2.450668008585176610e-02 8.743179464052381888e+01 2.801867911941294254e-02
3.002001334222815371e-02 3.134078632821576949e-02 8.743185690435034019e+01 3.002001334222815371e-02
3.202134756504336488e-02 2.292363280075896889e-02 8.743186105503463068e+01 3.202134756504336488e-02
3.402268178785857605e-02 8.343609141672262558e-03 8.743187981348350490e+01 3.402268178785857605e-02
3.602401601067378722e-02 2.317430984605092163e-04 8.743196508716096105e+01 3.602401601067378722e-02
3.802535023348899840e-02 3.224332923408048703e-03 8.743209997636212449e+01 3.802535023348899840e-02
4.002668445630420957e-02 1.155857584870398531e-02 8.743221855786194396e+01 4.002668445630420957e-02
4.202801867911941380e-02 1.601778896295120297e-02 1.151987900824766597e-01 4.202801867911941380e-02
4.402935290193462498e-02 1.257148494432337726e-02 7.300134721459522469e-02 4.402935290193462498e-02
4.603068712474983615e-02 4.993648608042527623e-03 4.116286046652247593e-02 4.603068712474983615e-02
4.803202134756504732e-02 2.168760450454488317e-04 2.214783215256300314e-02 4.803202134756504732e-02
5.003335557038025849e-02 1.653335623461558122e-03 1.411786533833645288e-02 5.003335557038025849e-02
5.203468979319546966e-02 6.663293087406600007e-03 1.287125147303733175e-02 5.203468979319546966e-02
5.403602401601068084e-02 9.792495061997735090e-03 2.027275265275391494e-02 5.403602401601068084e-02
5.603735823882588507e-02 8.080807347776738578e-03 2.686317290271748176e-02 5.603735823882588507e-02
5.803869246164109624e-02 3.415142391529418613e-03 3.092926560456337598e-02 5.803869246164109624e-02
6.004002668445630742e-02 1.957651256618773679e-04 3.457217882455299734e-02 6.004002668445630742e-02
6.204136090727151859e-02 1.002605755378699424e-03 3.776944463534769036e-02 6.204136090727151859e-02
6.404269513008672976e-02 4.426630727492940863e-03 4.180704967066180971e-02 6.404269513008672976e-02
6.604402935290193399e-02 6.797422801719447787e-03 4.469065620386983295e-02 6.604402935290193399e-02
6.804536357571715210e-02 5.813250952907193965e-03 4.775548478104088557e-02 6.804536357571715210e-02
7.004669779853235634e-02 2.552816887422710256e-03 5.001292361046705964e-02 7.004669779853235634e-02
7.204803202134757445e-02 1.701780554585101760e-04 5.182383936350952458e-02 7.204803202134757445e-02
7.404936624416277868e-02 7.690964043355594292e-04 5.299801288833626278e-02 7.404936624416277868e-02
7.605070046697799679e-02 3.496220775145098252e-03 5.456957570062755114e-02 7.605070046697799679e-02
7.805203468979320103e-02 5.530457248339362003e-03 5.651823312423946699e-02 7.805203468979320103e-02
8.005336891260841914e-02 4.861841492022132664e-03 5.810556000478489524e-02 8.005336891260841914e-02
8.205470313542362337e-02 2.189521042248389511e-03 5.922991136749766045e-02 8.205470313542362337e-02
8.405603735823882761e-02 2.483341525197582276e-04 6.023923591059925781e-02 8.405603735823882761e-02
8.605737158105404572e-02 1.326345688385336188e-03 6.089029252426161887e-02 8.605737158105404572e-02
8.805870580386924995e-02 5.388459140218470472e-03 6.161059417548703232e-02 8.805870580386924995e-02
9.006004002668446806e-02 1.103821642345343725e-02 6.268496977968250616e-02 9.006004002668446806e-02
9.206137424949967230e-02 2.695408171120402402e-02 6.331526884552356182e-02 9.206137424949967230e-02
9.406270847231489041e-02 3.037087729228848398e-01 6.393158583194129274e-02 9.406270847231489041e-02
9.606404269513009464e-02 3.012554619007882240e-01 6.422754139995295874e-02 9.606404269513009464e-02
9.806537691794529887e-02 2.449918121136352434e-01 6.487181314872098037e-02 9.806537691794529887e-02
1.000667111407605170e-01 2.364975603659847936e-01 6.528698583351547069e-02 1.000667111407605170e-01
1.020680453635757212e-01 1.876673199571361472e-01 6.565749763911499226e-02 1.020680453635757212e-01
1.040693795863909393e-01 1.835595119403863884e-01 6.617552833787335165e-02 1.040693795863909393e-01
1.060707138092061436e-01 1.184694450995700810e-01 6.646399844234482379e-02 1.060707138092061436e-01
1.080720480320213617e-01 1.335295150387718066e-01 6.664402729620544363e-02 1.080720480320213617e-01
1.100733822548365659e-01 1.170616720923246951e-01 6.700215384744095948e-02 1.100733822548365659e-01
1.120747164776517701e-01 1.055883322029570609e-01 6.746108521209707998e-02 1.120747164776517701e-01
1.140760507004669883e-01 7.106474731865508598e-02 6.782393441135284307e-02 1.140760507004669883e-01
1.160773849232821925e-01 7.277768444561484584e-02 6.805934130915430869e-02 1.160773849232821925e-01
1.180787191460974106e-01 8.012669746654937919e-02 6.825491027507277209e-02 1.180787191460974106e-01
1.200800533689126148e-01 6.830473502577040501e-02 6.848181209681739046e-02 1.200800533689126148e-01
1.220813875917278329e-01 5.765698171992748866e-02 6.875090532669836385e-02 1.220813875917278329e-01
1.240827218145430372e-01 5.740009523011659759e-02 6.903076030060859014e-02 1.240827218145430372e-01
1.260840560373582553e-01 3.926480610448049302e-02 6.927063824303045236e-02 1.260840560373582553e-01
1.280853902601734595e-01 3.452601630828438378e-02 6.942283249155691005e-02 1.280853902601734595e-01
1.300867244829886638e-01 4.426627581705970538e-02 6.946615422730537115e-02 1.300867244829886638e-01
1.320880587058038680e-01 2.749559732294467457e-02 6.939797922513143980e-02 1.320880587058038680e-01
1.340893929286191000e-01 3.193228953053386249e-02 6.896682402838519299e-02 1.340893929286191000e-01
1.360907271514343042e-01 2.192667335047626329e-02 6.177895633462420627e-02 1.360907271514343042e-01
1.380920613742495084e-01 3.449594904726532157e-02 5.460721853059379016e-02 1.380920613742495084e-01
1.400933955970647127e-01 2.043722246810367182e-02 4.874722996356842253e-02 1.400933955970647127e-01
1.420947298198799447e-01 1.538674915524174298e-02 4.304864354905445223e-02 1.420947298198799447e-01
1.440960640426951489e-01 2.224186440447133845e-02 3.854525107874615802e-02 1.440960640426951489e-01
1.460973982655103531e-01 1.625390501082384781e-02 3.432514228752446550e-02 1.460973982655103531e-01
1.480987324883255574e-01 1.417860581000474421e-02 3.294825199673859228e-02 1.480987324883255574e-01
1.501000667111407616e-01 2.049643955356326291e-02 3.205673248056802732e-02 1.501000667111407616e-01
1.521014009339559936e-01 2.136900283832341568e-02 3.111675805969241551e-02 1.521014009339559936e-01
1.541027351567711978e-01 1.504699522494504053e-02 3.090301279105757415e-02 1.541027351567711978e-01
1.561040693795864021e-01 1.042077921419588653e-02 3.154365596894252721e-02 1.561040693795864021e-01
1.581054036024016063e-01 1.151454837780179971e-02 3.067102808326912719e-02 1.581054036024016063e-01
1.601067378252168383e-01 1.483343193986857989e-02 2.962160660950984362e-02 1.601067378252168383e-01
1.621080720480320425e-01 1.589466391714158822e-02 2.870354635485633868e-02 1.621080720480320425e-01
1.641094062708472467e-01 1.366357497256869002e-02 2.931332965747845964e-02 1.641094062708472467e-01
1.661107404936624510e-01 1.008332979181558384e-02 2.915959702503100048e-02 1.661107404936624510e-01
1.681120747164776552e-01 7.566309877970214121e-03 2.937110986687484909e-02 1.681120747164776552e-01
1.701134089392928872e-01 7.164650305905593229e-03 3.056435276925363251e-02 1.701134089392928872e-01
1.721147431621080914e-01 8.243041334322400923e-03 2.984535184802828561e-02 1.721147431621080914e-01
1.741160773849232957e-01 9.276718644607535522e-03 3.043277571492074632e-02 1.741160773849232957e-01
1.761174116077384999e-01 9.006197478684524818e-03 3.209315837047615333e-02 1.761174116077384999e-01
1.781187458305537041e-01 7.214211935541101073e-03 4.280530674493995824e-02 1.781187458305537041e-01
1.801200800533689361e-01 4.732280865594917091e-03 4.663631942031925409e-02 1.801200800533689361e-01
1.821214142761841404e-01 2.855517370912469266e-03 5.445306387083628102e-02 1.821214142761841404e-01
1.841227484989993446e-01 3.028228674495942168e-03 5.910488285189251234e-02 1.841227484989993446e-01
1.861240827218145488e-01 1.053505150029694810e-02 6.655020444297295168e-02 1.861240827218145488e-01
1.881254169446297808e-01 6.201694317734938316e-02 6.888753260577201720e-02 1.881254169446297808e-01
1.901267511674449850e-01 9.697721487577895538e-02 7.360854070189012943e-02 1.901267511674449850e-01
1.921280853902601893e-01 7.852272083642437839e-02 7.600351784868700222e-02 1.921280853902601893e-01
1.941294196130753935e-01 9.682477618892848525e-02 8.311291890115940495e-02 1.941294196130753935e-01
1.961307538358905977e-01 9.733111761193824485e-02 8.595854181380432890e-02 1.961307538358905977e-01
1.981320880587058297e-01 3.699994113300528187e-02 9.289787936645793609e-02 1.981320880587058297e-01
2.001334222815210340e-01 3.710041704241882204e-02 9.863185541331037642e-02 2.001334222815210340e-01
2.021347565043362382e-01 3.066426458497663321e-02 1.041577095628346133e-01 2.021347565043362382e-01
