# r R2_data R2_GUE
2.500000000000000139e-02 0.000000000000000000e+00 2.054477198427662188e-03
7.500000000000001110e-02 2.233917560871985161e-02 1.836906857537090598e-02
1.250000000000000000e-01 2.233917560871985161e-02 5.035879644821628087e-02
1.750000000000000167e-01 3.909355731525974292e-02 9.677830454938052274e-02
2.250000000000000056e-01 7.260232072833951167e-02 1.558413977085858493e-01
2.750000000000000222e-01 1.116958780435992615e-01 2.253136608087942250e-01
3.250000000000000666e-01 1.731286109675788387e-01 3.026270369783429226e-01
3.750000000000000000e-01 2.569005195002783126e-01 3.850094944935739116e-01
4.250000000000000444e-01 4.021051609569573082e-01 4.696220918860942728e-01
4.749999999999999778e-01 3.741811914460574928e-01 5.536954340583410961e-01
5.250000000000000222e-01 4.970466572940167027e-01 6.346577135942429448e-01
5.750000000000000666e-01 7.651167645986548527e-01 7.102472297827623349e-01
6.250000000000000000e-01 7.762863524030148010e-01 7.786034180176866215e-01
6.750000000000000444e-01 7.483623828921149856e-01 8.383319194092454518e-01
7.250000000000000888e-01 9.382453755662337747e-01 8.885409666561999709e-01
7.750000000000000222e-01 9.214909938596939076e-01 9.288482343542096009e-01
8.250000000000000666e-01 9.605845511749535603e-01 9.593591707281171610e-01
8.750000000000000000e-01 1.239824246283951714e+00 9.806195672744534297e-01
9.250000000000000444e-01 1.061110841414192985e+00 9.935466191506050482e-01
9.750000000000000888e-01 1.022017284098933221e+00 9.993438885451666476e-01
1.024999999999999911e+00 1.100204398729452748e+00 9.994063381779884070e-01
1.075000000000000178e+00 1.139297956044712512e+00 9.952219154230277365e-01
1.125000000000000000e+00 8.991518182509740109e-01 9.882760345240521049e-01
1.175000000000000266e+00 9.159061999575138779e-01 9.799647518890536313e-01
1.225000000000000089e+00 9.494149633705937230e-01 9.715215132088277361e-01
1.274999999999999911e+00 1.033186871903293058e+00 9.639611506950650499e-01
1.325000000000000178e+00 9.159061999575138779e-01 9.580434208790814532e-01
1.375000000000000000e+00 8.433038792291743801e-01 9.542569045491088309e-01
1.425000000000000266e+00 8.823974365444341439e-01 9.528226483702927352e-01
1.475000000000000089e+00 8.991518182509740109e-01 9.537156138164496477e-01
1.524999999999999911e+00 8.042103219139146164e-01 9.567009007511585450e-01
1.575000000000000178e+00 9.103214060553339593e-01 9.613808980990378172e-01
1.625000000000000000e+00 9.214909938596939076e-01 9.672490263339773575e-01
1.675000000000000266e+00 1.150467543849072349e+00 9.737455935062018231e-01
1.725000000000000089e+00 1.033186871903293058e+00 9.803114793022188467e-01
1.774999999999999911e+00 1.178391513359972054e+00 9.864358566186064436e-01
1.825000000000000178e+00 1.022017284098933221e+00 9.916949027815574746e-01
1.875000000000000000e+00 1.133713162142532482e+00 9.957793724286587711e-01
1.925000000000000266e+00 1.100204398729452748e+00 9.985099210013793636e-01
1.975000000000000089e+00 1.049941253609832925e+00 9.998400984581314876e-01
2.025000000000000355e+00 1.016432490196753191e+00 9.998478973444899776e-01
2.075000000000000178e+00 9.549997572727736417e-01 9.987175673707618939e-01
2.125000000000000000e+00 1.027602078001113250e+00 9.967140442783675169e-01
2.174999999999999822e+00 9.717541389793135087e-01 9.941527463235459994e-01
2.225000000000000089e+00 9.940933145880334054e-01 9.913676496925130088e-01
2.275000000000000355e+00 8.265494975226345131e-01 9.886804676920497581e-01
2.325000000000000178e+00 8.823974365444341439e-01 9.863734500230477709e-01
2.375000000000000000e+00 8.488886731313542988e-01 9.846678267325267297e-01
2.425000000000000266e+00 8.712278487400741955e-01 9.837092979652546365e-01
2.475000000000000089e+00 8.991518182509740109e-01 9.835612745327070305e-01
2.525000000000000355e+00 1.089034810925092689e+00 9.842058672380218365e-01
2.575000000000000178e+00 1.016432490196753191e+00 9.855519638566387908e-01
2.625000000000000000e+00 9.438301694684136933e-01 9.874491733570117669e-01
2.675000000000000266e+00 1.200730688968691950e+00 9.897059978381814727e-01
2.725000000000000089e+00 1.200730688968691950e+00 9.921103402876747523e-01
2.775000000000000355e+00 1.150467543849072349e+00 9.944503817234311427e-01
2.825000000000000178e+00 1.089034810925092689e+00 9.965339601317972917e-01
2.875000000000000000e+00 1.077865223120732852e+00 9.982048370443254992e-01
2.925000000000000266e+00 1.094619604827272719e+00 9.993546147722388584e-01
2.975000000000000089e+00 9.494149633705937230e-01 9.999295285980649428e-01
3.025000000000000355e+00 9.438301694684136933e-01 9.999318389780205152e-01
3.075000000000000178e+00 9.773389328814935384e-01 9.994160434673262650e-01
3.125000000000000000e+00 9.214909938596939076e-01 9.984805740743171176e-01
3.175000000000000266e+00 8.600582609357142472e-01 9.972560070012350675e-01
3.225000000000000089e+00 8.823974365444341439e-01 9.958910614274619766e-01
3.275000000000000355e+00 8.377190853269944615e-01 9.945377864319016048e-01
3.325000000000000178e+00 8.991518182509740109e-01 9.933373265447079659e-01
3.375000000000000000e+00 9.661693450771335900e-01 9.924075246233774461e-01
3.425000000000000266e+00 9.661693450771335900e-01 9.918333840138037205e-01
3.475000000000000089e+00 1.139297956044712512e+00 9.916610968218549926e-01
3.525000000000000355e+00 1.055526047512012955e+00 9.918959836876948266e-01
3.575000000000000178e+00 9.549997572727736417e-01 9.925043173042731315e-01
3.625000000000000000e+00 1.167221925555612216e+00 9.934186509517742847e-01
3.675000000000000266e+00 1.183976307262152083e+00 9.945459747905659453e-01
3.725000000000000089e+00 1.206315482870871980e+00 9.957778006827558981e-01
3.775000000000000355e+00 1.005262902392393354e+00 9.970011470204989124e-01
3.825000000000000178e+00 1.066695635316372792e+00 9.981093654971557871e-01
3.875000000000000000e+00 1.083450017022912881e+00 9.990118197673758527e-01
3.925000000000000266e+00 9.717541389793135087e-01 9.996415806571129492e-01
3.975000000000000089e+00 9.438301694684136933e-01 9.999605258683279541e-01
