# L Sig2_dat Sig2_GUE Sig2_Poi D3_dat D3_GUE D3_Poi
2.000000000000000000e+00 3.101644166666666647e-01 4.162517305574452431e-01 2.000000000000000000e+00 9.208978467493365849e-02 6.327906736218527617e-02 1.333333333333333315e-01
3.000000000000000000e+00 3.166666666666666519e-01 4.573339352366329602e-01 3.000000000000000000e+00 1.080162957379233873e-01 1.043612720413729655e-01 2.000000000000000111e-01
5.000000000000000000e+00 3.371659722222222211e-01 5.090913920714386087e-01 5.000000000000000000e+00 1.234018158089539990e-01 1.561187288761786141e-01 3.333333333333333148e-01
7.000000000000000000e+00 3.014877500000000543e-01 5.431831573486847198e-01 7.000000000000000000e+00 1.311600023680191407e-01 1.902104941534246696e-01 4.666666666666666741e-01
1.000000000000000000e+01 2.488233055555555684e-01 5.793218848441215041e-01 1.000000000000000000e+01 1.418081840346625266e-01 2.263492216488615094e-01 6.666666666666666297e-01
1.500000000000000000e+01 3.278210833333333740e-01 6.204040895233091657e-01 1.500000000000000000e+01 1.475997251469534921e-01 2.674314263280492265e-01 1.000000000000000000e+00
2.000000000000000000e+01 2.641659722222222118e-01 6.495523776168043995e-01 2.000000000000000000e+01 1.477645425218264696e-01 2.965797144215444048e-01 1.333333333333333259e+00
3.000000000000000000e+01 2.621619722222221505e-01 6.906345822959919500e-01 3.000000000000000000e+01 1.488591659161542236e-01 3.376619191007320109e-01 2.000000000000000000e+00
4.000000000000000000e+01 2.723083333333332634e-01 7.197828703894872948e-01 4.000000000000000000e+01 1.492462022681245448e-01 3.668102071942273001e-01 2.666666666666666519e+00
5.000000000000000000e+01 2.789998888888888806e-01 7.423920391307977651e-01 5.000000000000000000e+01 1.494546675497105959e-01 3.894193759355377704e-01 3.333333333333333481e+00
7.500000000000000000e+01 2.936638888888888355e-01 7.834742438099853157e-01 7.500000000000000000e+01 1.496737507571884174e-01 4.305015806147253210e-01 5.000000000000000000e+00
1.000000000000000000e+02 3.019888888888889733e-01 8.126225319034806605e-01 1.000000000000000000e+02 1.497998875645926431e-01 4.596498687082206103e-01 6.666666666666666963e+00
